tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,lead_actors_ids,plot,budget,box_office,language,country
tt21692408,movie,Kung Fu Panda 4,Kung Fu Panda 4,0,2024.0,94.0,"Action,Adventure,Animation",6.3,81753,"['nm0085312', 'nm5377144', 'nm0205626', 'nm0000163', 'nm0186505']","After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit re...",$85 million,$547.7 million,English,United States[3]
tt2937898,movie,A Most Violent Year,A Most Violent Year,0,2014.0,125.0,"Crime,Drama,Thriller",6.9,81752,"['nm1209966', 'nm1567113', 'nm0654648', 'nm0005273', 'nm1175468']","In New York City 1981, an ambitious immigrant fights to protect his business and family during the most dangerous year in the city's history.",$20 million,$12 million,English,
tt26548265,movie,Maharaja,Maharaja,0,2024.0,141.0,"Action,Crime,Drama",8.3,81663,"['nm4043111', 'nm0440604', 'nm1952830', 'nm0836991', 'nm1366317']","A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",,,,
tt8368512,movie,The Courier,The Courier,0,2020.0,112.0,"Drama,History,Mystery",7.2,81657,"['nm1212722', 'nm0632457', 'nm3014031', 'nm1078491', 'nm10778359']",Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis.,,,,
tt0310775,movie,Sympathy for Mr. Vengeance,Boksuneun naui geot,0,2002.0,129.0,"Crime,Drama,Thriller",7.5,81654,"['nm0814280', 'nm0793784', 'nm0046277', 'nm0510546', 'nm1136390']","A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",,,Korean,South Korea
tt8790086,movie,Kraven the Hunter,Kraven the Hunter,0,2024.0,127.0,"Action,Adventure,Thriller",5.5,81645,"['nm1093951', 'nm1093951', 'nm3663196', 'nm9538520', 'nm0005273']","Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most ...",$110–130 million,$62 million,English,United States
tt1712261,movie,Triple 9,Triple 9,0,2016.0,115.0,"Action,Crime,Drama",6.3,81639,"['nm0000729', 'nm0252230', 'nm1107001', 'nm0666739', 'nm0000437']",Criminals and crooked cops hatch a devious scheme to use an honest lawman as a pawn for a heist.,$20 million,$25.9 million,English,United States
tt0347304,movie,Kal Ho Naa Ho,Kal Ho Naa Ho,0,2003.0,186.0,"Comedy,Drama,Musical",7.9,81618,"['nm0006689', 'nm0451321', 'nm0451307', 'nm0080149', 'nm0786024']","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love fo...",₹28–32 crore,₹86.09 crore (initial run)₹5.60 crore (re-release),Hindi,India
tt1608290,movie,Zoolander 2,Zoolander 2,0,2016.0,101.0,"Action,Adventure,Comedy",4.7,81616,"['nm0001774', 'nm0005562', 'nm0004851', 'nm0002071', 'nm3595501']","Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy.",$50–55 million,$56.7 million,English,United States
tt10919380,movie,Freaky,Freaky,0,2020.0,102.0,"Comedy,Horror,Thriller",6.3,81596,"['nm0000681', 'nm1105980', 'nm9305936', 'nm8048167', 'nm9458191']","After swapping bodies with a deranged serial killer, a high-school senior discovers that she has fewer than 24 hours before the change becomes permanent.",$6 million,$18.1 million,English,United States
tt0116040,movie,Daylight,Daylight,0,1996.0,114.0,"Action,Adventure,Drama",6.0,81583,"['nm0000230', 'nm0000312', 'nm0001557', 'nm0000445', 'nm0761587']",Disaster in a New York tunnel as explosions collapse both ends of it. One hero tries to help the people inside find their way to safety.,,,,
tt0995039,movie,Ghost Town,Ghost Town,0,2008.0,102.0,"Comedy,Drama,Fantasy",6.7,81580,"['nm0315041', 'nm0001427', 'nm0000495', 'nm1994167', 'nm1293842']","Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",,,,
